,.
TimesUsed,How.many.times.in.the.past.month.have.you.used.any.of.the.following.devices..PlayStation.VR..HTC.VIVE..Oculus.Rift..Microsoft.Mixed.Reality.headsets.
OftenText,How.often.do.you.use.these.types.of.applications...Text.messaging..i.e..instant.messages..Slack..WhatsApp..Gchat..
OftenVideo,How.often.do.you.use.these.types.of.applications...Video.communication..i.e...Skype..FaceTime..Zoom..
OftenPhone,How.often.do.you.use.these.types.of.applications...Phone.Voice..i.e...Discord..voice.chat..
OftenSocialMedia,How.often.do.you.use.these.types.of.applications...Social.media..i.e...Facebook..Twitter..LinkedIn..
OftenSoloGame,How.often.do.you.use.these.types.of.VR.applications...Solo.gaming..i.e...Job.Simulator..SUPERHOT.VR..I.Expect.You.to.Die..
OftenMultiplay,How.often.do.you.use.these.types.of.VR.applications...Multiplayer...social..i.e...Rec.Room..Altspace..Spaces..etc..
OftenEntertain,How.often.do.you.use.these.types.of.VR.applications...Entertainment...360.videos.
OftenCultural,How.often.do.you.use.these.types.of.VR.applications...Cultural...educational.apps..i.e...Google.Earth.VR..
OftenCreative,How.often.do.you.use.these.types.of.VR.applications...Creative..i.e...Tilt.Brush..Google.Blocks..etc...
FeatureTalkFriends,How.important.are.these.VR.product.features.to.you...Talk.with.friends.or.family..
FeatureTalkStranger,How.important.are.these.VR.product.features.to.you...Talk.with.a.stranger..
FeatureScreenshot,How.important.are.these.VR.product.features.to.you...Share.a.picture.or.screenshot.with.someone..
DataPriv,How.important.is.it.to.you.that.your.personal.data.on.the.Internet.is.private.
PrivFeatUsed,Which.of.the.following..if.any..privacy.security.measures.do.you.use.monthly...Check.all.that.apply..
ControlPriv,Do.you.feel.you.can.control.your.privacy.settings.in.VR.
BiometricDevelop,How.acceptable.is.it.for.an.organization.to.use.biometric.data..such.as.eye.tracking..in.the.following.ways...To.develop.products.
BiometricMarket,How.acceptable.is.it.for.an.organization.to.use.biometric.data..such.as.eye.tracking..in.the.following.ways...Do.market.research.
BiometricSellAnon,How.acceptable.is.it.for.an.organization.to.use.biometric.data..such.as.eye.tracking..in.the.following.ways...Sell.your.data.with.anonymity.
BiometricSellData,How.acceptable.is.it.for.an.organization.to.use.biometric.data..such.as.eye.tracking..in.the.following.ways...Sell.your.data.with.personal.details.
SoloVMulti,Which.of.the.following.is.true.for.the.time.you.spend.in.Virtual.Reality.
UseVRGames,Respond.to.the.following.statements.....I.use.VR.to.play.games...
UseVRUnique,Respond.to.the.following.statements.....I.use.VR.to.have.unique.experiences..
UseVRImmersive,Respond.to.the.following.statements.....I.use.VR.to.have.immersive.experiences..
UseVRFriends,Respond.to.the.following.statements.....I.use.VR.to.spend.time.with.friends..
UseVRStrangers,Respond.to.the.following.statements.....I.use.VR.to.meet.new.people..
UseVRAlone,Respond.to.the.following.statements.....I.mostly.use.VR.alone..
UseVRDemo,Respond.to.the.following.statements.....I.demo.VR.for.others...
PrimaryUseVR,What.is.your.primary.reason.for.using.VR.
WishFriends,Respond.to.the.following.statements...When.using.a.single.user.app..I.wish.my.friends.were.with.me....
VRAlone,Respond.to.the.following.statements...I.prefer.to.use.VR.alone...
Lonely,Respond.to.the.following.statements...I.have.experienced.feeling.lonely.in.VR..
ConnectPeople,Respond.to.the.following.statements...I.use.VR.to.connect.with.people...
NegSocExperience,Have.you.had.any.of.the.following.negative.social.experiences.in.VR...check.all.that.apply.
HarrBubble,Which.of.these.VR.tools.do.you.believe.to.be.effective.in.dealing.with.harassment...Personal.space.bubbles.
HarrInvisib,Which.of.these.VR.tools.do.you.believe.to.be.effective.in.dealing.with.harassment...Invisibility.
HarrMute,Which.of.these.VR.tools.do.you.believe.to.be.effective.in.dealing.with.harassment...Mute.
HarrBlock,Which.of.these.VR.tools.do.you.believe.to.be.effective.in.dealing.with.harassment...Block.harassers.
HarrLive,Which.of.these.VR.tools.do.you.believe.to.be.effective.in.dealing.with.harassment...Live.moderators.
HarrVoice,Which.of.these.VR.tools.do.you.believe.to.be.effective.in.dealing.with.harassment...Change.voice.
IdealAvatar,What.are.the.characteristics.of.your.ideal.avatar.when.spending.time.with.friends.in.VR...check.all.that.apply.
WorkTime,Which.is.true.for.you.
HoursVR,In.the.past.week..how.many.hours.have.you.spent.in.VR..
USLive,Do.you.live.in.the.United.States.of.America.
State,Which.state.do.you.live.in.
GenderID,With.which.gender.identity.do.you.most.identify.
ConsiderHarrassment,Would.you.consider.one.or.more.of.the.experiences.you.faced.above.to.be.sexual.harassment.
DescribHarr,Describe.an.instance.in.which.you.felt.you.were.being.harassed.in.a.VR.setting..optional..
Howlong,How.long.have.you.regularly.used.VR.
Country,What.country.do.you.live.in.
